AGENT_ID,AGENT_NAME,CITY,STATE
AGENT00303,Deana Hetzler,Montgomery,AL
AGENT00589,Jeffrey Jackson,Dracut,MA
AGENT00673,Virginia Vorse,Washington,DC
AGENT00850,Flora Treadway,Anchorage,AK
AGENT01023,David Taylor,Glen Burnie,MD
AGENT00032,Russell Frost,Montpelier,VT
AGENT00150,Leonardo Varghese,Nashville,TN
AGENT00153,Pat Hartman,Anchorage,AK
AGENT00346,Ruby Candelaria,Vershire,VT
AGENT00401,Carissa Niemann,Manchester,CT
AGENT00404,Terry Reitan,Pooler,GA
AGENT00467,Thomas Marshall,Washington,DC
AGENT00485,Peter Bailey,Anchorage,AK
AGENT00645,Anthony Joshi,Fayetteville,AR
AGENT00836,Adam Dixon,Union City,CA
AGENT00394,Thomas Fannin,Manchester,CT
AGENT01009,Maria Garcia,Glendale,AZ
AGENT01014,Alphonso Shirey,Glendale,AZ
AGENT01157,Valerie Roush,Arvada,CO
AGENT00431,Sunshine Lopez,Fall River,MA
AGENT00526,Doris Aragon,Brookline,MA
AGENT00558,Cecile Pasceri,Annapolis,MD
AGENT00654,Dominique Touhey,Severn,MD
AGENT00809,Peter Henry,Needham,MA
AGENT00829,Loretta Ramos,Manchester,CT
AGENT01026,Edward Hesse,Savannah,GA
AGENT00181,Judy Harris,Arvada,CO
AGENT00288,Michael Fowler,Guthrie,OK
AGENT00293,Judy Drinkwater,Arvada,CO
AGENT00311,Harry Butts,Fayetteville,AR
AGENT00330,Amy Ballance,Norman,OK
AGENT00910,Vincent Ragan,Anchorage,AK
AGENT01098,Adriane Clennon,Glen Burnie,MD
AGENT01111,Beverly Williams,Panama City Beach,FL
AGENT00164,Joanne Bynoe,Goodlettsville,TN
AGENT00667,Jim Espinosa,Montgomery,AL
AGENT01002,Keith Thomas,Castro Valley,CA
AGENT01012,Shane Salazar,Nashville,TN
AGENT00197,Gerald Barretto,Norman,OK
AGENT00520,Geraldine Ritter,Oklahoma City,OK
AGENT00545,Bruce Weeden,Pooler,GA
AGENT01054,Michael Blalock,Woodbury,VT
AGENT00029,Heather Cantwell,Glendale,AZ
AGENT00220,Debbie Beegle,Savannah,GA
AGENT00385,Sarah Pearce,Annapolis,MD
AGENT00762,Juanita Mccommons,Louisville,KY
AGENT00237,Julie Matthews,Pasadena,MD
AGENT00269,Lorraine Johnson,,VT
AGENT00424,Robert Obrien,Hartland,VT
AGENT00517,Betty Henderson,Newfane,VT
AGENT00904,Pamela Moncivais,Fayetteville,AR
AGENT01082,Robin White,Savannah,GA
AGENT00195,Kathryn Lowe,Reading,VT
AGENT00198,William Jones,Savannah,GA
AGENT01197,John Dorsey,Montgomery,AL
AGENT00030,Georgia Kenny,Union City,CA
AGENT00083,Christopher Fontenot,Louisville,KY
AGENT00099,Sandra Hayashi,Glendale,AZ
AGENT00257,Floyd Ruiz,Eureka,CA
AGENT00678,Norman Brown,Glendale,AZ
AGENT00699,Chris Edmonds,Westmore,VT
AGENT00948,Martha Deloach,Severn,MD
AGENT01064,Cynthia Kern,Anchorage,AK
AGENT00256,Margaret Styons,Lynn Haven,FL
AGENT00376,David Donnelly,Washington,DC
AGENT00514,Isaura Cole,Glendale,AZ
AGENT00525,Don Ritchie,Rancho Palos Verdes,CA
AGENT00785,Larry Wakham,Nashville,TN
AGENT01101,Andre Gault,Manchester,CT
AGENT01127,Robert Ward,Glendale,AZ
AGENT00211,Lillian Floyd,Washington,DC
AGENT00827,Craig Baade,Montgomery,AL
AGENT01032,James Williams,Savannah,GA
AGENT01071,Gary Grande,Severna Park,MD
AGENT01092,Anthony Campbell,Panama City Beach,FL
AGENT01196,Myrtle Mccatty,Washington,DC
AGENT00294,Gary Scott,Bakersfield,CA
AGENT00518,Carl Heck,Athol,MA
AGENT00831,Chris Jenkins,Fremont,CA
AGENT00014,Larry Dryer,Oakland,CA
AGENT00039,Jeremy Fields,Louisville,KY
AGENT00057,Debra Tripp,Washington,DC
AGENT00060,Vincent Rule,Louisville,KY
AGENT00652,Emily Kilgore,Savannah,GA
AGENT00920,Yolanda Samples,Brentwood,TN
AGENT00985,Sherman Dammen,Montgomery,AL
AGENT01003,Ana Ashford,Annapolis,MD
AGENT00141,Mike Cress,,VT
AGENT00527,Ian Garrett,Pooler,GA
AGENT00631,Ashley Baird,Nashville,TN
AGENT00681,Luciano Urbina,Pasadena,MD
AGENT00997,Efren Anna,Lowell,MA
AGENT00023,Amy Venice,,VT
AGENT00450,Peter Thomas,Washington,DC
AGENT00574,Jacqueline Craft,Fayetteville,AR
AGENT00579,Lori Peterson,Savannah,GA
AGENT00240,Ruth Ferrell,Manchester,CT
AGENT00734,Patrick Baptiste,Anchorage,AK
AGENT00998,Winifred Sampson,Glendale,AZ
AGENT00069,Christian Nusbaum,Montgomery,AL
AGENT00784,Deanna Elmore,Manchester,CT
AGENT00792,Beatrice Pontius,Savannah,GA
AGENT00810,George Ryan,Crofton,MD
AGENT00927,Maria Lynn,Fayetteville,AR
AGENT01065,Fern Hatcher,Washington,DC
AGENT01125,Frank Valenzuela,Washington,DC
AGENT00265,Roberta Lewis,Louisville,KY
AGENT00347,Tammie Ansbro,Nashville,TN
AGENT00611,Michael Olson,Arvada,CO
AGENT01199,Tommie Camacho,Arvada,CO
AGENT00262,Stuart Lopez,Anchorage,AK
AGENT00464,Dana Ewing,Thunderbolt,GA
