CUSTOMER_ID,CUSTOMER_NAME,AGE,MARITAL_STATUS,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,SOCIAL_CLASS,CUSTOMER_EDUCATION_LEVEL,HOUSE_TYPE,CITY,STATE
A00005229,William Sena,45,Y,Y,5,LI,NA,Rent,Panama City,FL
A00000322,Eileen Stephenson,37,Y,Y,7,LI,High School,Own,Cambridge,MA
A00004672,Rebecca Lance,36,N,Y,7,HI,College,Own,Mammoth Lakes,CA
A00005417,Warren Harrison,46,Y,Y,2,HI,High School,Own,Wakefield,MA
A00002244,Margaret Willier,51,N,Y,4,MI,Bachelor,Rent,Arvada,CO
A00002052,David Riddle,28,Y,Y,3,MI,Masters,Own,Washington,DC
A00005951,Jonathan Kaufman,59,Y,Y,7,MI,Bachelor,Own,Everett,MA
A00005023,Garland Macdougall,30,Y,Y,6,MI,Masters,Own,Glendale,AZ
A00001834,Steven Woods,50,Y,Y,3,MI,High School,Rent,San Jose,CA
A00007227,Lauren Perine,63,N,Y,7,MI,College,Rent,Oklahoma City,OK
A00004749,Odell Hall,33,N,Y,5,HI,Masters,Rent,Lynn,MA
A00006869,Barbara Givens,54,N,Y,6,MI,Bachelor,Rent,Nashville,TN
A00009993,Marvin Wilcox,36,Y,Y,5,MI,PhD,Own,Arvada,CO
A00002088,Ofelia Wright,51,Y,Y,7,MI,High School,Mortgage,Fayetteville,AR
A00005274,Marge Kelly,36,Y,Y,3,HI,Bachelor,Rent,Panama City Beach,FL
A00003189,Barbara Arwood,38,Y,Y,4,HI,Masters,Rent,Savannah,GA
A00004399,Miriam Flynn,48,Y,Y,5,HI,College,Mortgage,Bethel,VT
A00001527,Danielle Saeteun,42,Y,Y,2,HI,Bachelor,Own,Nashville,TN
A00009071,Randy Jones,64,N,Y,6,LI,Bachelor,Own,Hayward,CA
A00001354,Natalie Sims,33,Y,Y,4,HI,Bachelor,Rent,Mammoth Lakes,CA
A00004269,Kristin Womack,33,Y,Y,3,MI,MD,Mortgage,Nashville,TN
A00004344,Tony Merhar,64,Y,Y,3,MI,Bachelor,Own,Berkeley,CA
A00009591,Benjamin Essex,62,N,Y,5,HI,High School,Rent,Oakhurst,CA
A00003689,Timothy Shippy,64,Y,Y,5,MI,MD,Own,Washington,DC
A00003637,David Stubblefield,59,N,Y,2,LI,High School,Own,Goodlettsville,TN
A00006073,Chris Williams,56,Y,Y,6,HI,High School,Mortgage,Carson,CA
A00005085,Valerie Mcdaniel,52,Y,Y,6,HI,High School,Mortgage,Newark,CA
A00002366,Elisabeth Fernandez,50,Y,Y,6,MI,Bachelor,Own,Montgomery,AL
A00002059,Vonda Carlson,38,Y,Y,5,HI,High School,Rent,Nashville,TN
A00000011,Kerry Johnson,57,Y,Y,6,HI,MD,Own,Fayetteville,AR
A00002818,Timothy Williamson,39,N,N,7,HI,High School,Own,Nashville,TN
A00005321,Arlene Ortega,60,Y,Y,3,MI,Bachelor,Rent,Alameda,CA
A00002778,Dante Wesley,37,N,Y,4,LI,Bachelor,Rent,Montgomery,AL
A00003629,Raymond Shellenberger,28,Y,Y,4,HI,MD,Mortgage,Redlands,CA
A00001811,Stephen Ferrell,31,N,Y,4,MI,NA,Mortgage,Midwest City,OK
A00002926,Timothy Bullock,49,N,Y,4,MI,High School,Rent,Arvada,CO
A00007043,Hilton Henderson,56,Y,N,4,MI,Bachelor,Own,Glendale,AZ
A00001272,John Gonzales,58,Y,Y,3,MI,High School,Own,Highgate,VT
A00005273,Louis Scheer,64,Y,Y,5,MI,High School,Rent,Nashville,TN
A00007130,Sherry Schaller,30,Y,Y,6,HI,High School,Mortgage,Bethany,OK
A00006204,Heide Page,54,Y,Y,2,MI,Bachelor,Rent,Wolcott,VT
A00007518,Florence Tidmore,42,Y,Y,5,LI,Bachelor,Rent,Arvada,CO
A00003786,Mike Jernigan,57,N,N,6,MI,Bachelor,Rent,Panama City,FL
A00003447,Mary Cecilio,54,Y,Y,4,LI,Bachelor,Rent,Burke,VT
A00001363,Cathy Velez,40,N,Y,5,HI,High School,Mortgage,Glendale,AZ
A00008295,Christopher Vollmer,46,Y,Y,2,MI,High School,Own,Louisville,KY
A00001361,Wanda Chappell,46,Y,Y,4,MI,Bachelor,Mortgage,Quincy,MA
A00008290,Kay Schaefer,45,Y,Y,4,LI,Bachelor,Own,Oakhurst,CA
A00006722,Gary Queen,59,Y,Y,3,MI,Bachelor,Rent,Anchorage,AK
A00000250,James Coleman,39,N,Y,3,MI,High School,Mortgage,Washington,DC
A00007214,Ruth Alford,56,Y,Y,3,LI,College,Own,New Bedford,MA
A00009528,Nancy Cloyd,32,N,Y,7,LI,High School,Rent,Annapolis,MD
A00005411,Jody Haywood,44,Y,Y,4,MI,High School,Rent,Panama City,FL
A00001968,Eloise Thompson,64,N,Y,5,MI,PhD,Rent,Woodland,CA
A00000613,Richard Cobb,63,Y,Y,4,LI,NA,Rent,Charlotte,VT
A00007319,Barbara Williams,52,Y,Y,4,LI,NA,Rent,Louisville,KY
A00008425,Ernesto Vaughn,28,N,Y,3,MI,Bachelor,Mortgage,Nashville,TN
A00007532,Craig Watkins,56,Y,Y,6,MI,Bachelor,Own,Arvada,CO
A00005355,Amber Ward,39,Y,Y,6,MI,Masters,Mortgage,Norman,OK
A00005822,June Hunter,49,N,Y,2,LI,Bachelor,Mortgage,Pooler,GA
A00002407,Erin Abreu,40,Y,Y,6,MI,High School,Rent,Pleasanton,CA
A00006371,David Crown,46,Y,Y,2,LI,Bachelor,Mortgage,Glendale,AZ
A00008555,Larry Vix,47,Y,Y,3,LI,Bachelor,Rent,Glen Burnie,MD
A00003059,Evan Elliott,55,Y,Y,5,MI,Bachelor,Own,Arnold,MD
A00006755,Yolanda Pipes,48,Y,Y,6,HI,Bachelor,Own,Fayetteville,AR
A00008557,Lauren Loftis,29,Y,Y,5,LI,Bachelor,Rent,Glen Burnie,MD
A00007122,Lori Urquhart,53,Y,Y,2,HI,High School,Rent,Louisville,KY
A00006747,Caroline Henderson,30,N,Y,7,HI,High School,Rent,Anchorage,AK
A00009063,David Short,54,N,N,4,LI,Bachelor,Own,Oakland,CA
A00004605,Rodney Velarde,29,N,Y,3,LI,College,Rent,Arvada,CO
A00001519,Joseph Edwards,50,N,Y,3,HI,College,Own,Arvada,CO
A00004926,Clifford Hench,39,Y,Y,5,HI,Bachelor,Own,Anchorage,AK
A00009338,Raymond Kiffer,47,Y,Y,7,LI,Bachelor,Rent,Glen Burnie,MD
A00006321,Karen Gorman,61,Y,Y,4,MI,High School,Rent,Edmond,OK
A00005553,Howard Lawrence,26,Y,Y,6,MI,College,Mortgage,Oakland,CA
A00005422,Barbara Powles,62,Y,Y,6,LI,High School,Mortgage,Fayetteville,AR
A00009554,Felix Simas,46,N,Y,4,LI,High School,Own,Edmond,OK
A00004758,Nancy Hill,35,Y,Y,3,MI,Bachelor,Rent,Nashville,TN
A00007250,Jack Regan,55,Y,Y,3,MI,High School,Own,Revere,MA
A00003898,Laura Trantham,54,Y,Y,4,HI,Bachelor,Rent,Manchester,CT
A00003223,Winnie Durant,41,Y,Y,2,HI,High School,Mortgage,Louisville,KY
A00000244,Ada Vermeesch,34,Y,Y,7,MI,Masters,Own,Brockton,MA
A00000681,Elaine Madigan,55,N,Y,5,MI,High School,Rent,Savannah,GA
A00002509,Gary Began,41,Y,Y,6,MI,Masters,Rent,Washington,DC
A00009218,Eric Allen,28,N,Y,5,MI,Bachelor,Mortgage,Glendale,AZ
A00000072,Christine Forest,53,Y,Y,7,MI,Masters,Rent,Glendale,AZ
A00007804,Stephen Mills,41,N,Y,7,LI,Masters,Rent,Salinas,CA
A00007865,Gary Patten,47,Y,Y,2,LI,Masters,Rent,Montgomery,AL
A00005245,Janis Seay,53,Y,Y,4,MI,High School,Mortgage,Manchester,CT
A00008520,Alta Hawkins,27,N,Y,4,MI,Bachelor,Mortgage,Arvada,CO
A00007646,Lillian Mcneil,61,N,Y,4,MI,Bachelor,Rent,Nashville,TN
A00001408,Loretta Pierson,64,Y,Y,7,MI,Bachelor,Own,Anchorage,AK
A00005151,Benjamin Baisley,35,N,N,2,HI,Bachelor,Own,Mountain Village,CO
A00004571,Sherman Constance,35,Y,Y,4,MI,Bachelor,Mortgage,Marblehead,MA
A00009873,Matthew Clayton,42,Y,Y,3,MI,Bachelor,Rent,Walpole,MA
A00006227,William Castor,47,Y,Y,4,MI,Bachelor,Mortgage,Anchorage,AK
A00003748,Nina Mayse,62,Y,Y,5,LI,High School,Rent,Oklahoma City,OK
A00003363,Jessie Beal,45,Y,Y,2,HI,NA,Mortgage,Manchester,CT
A00009078,Eileen Svoboda,50,Y,Y,4,HI,Bachelor,Own,Savannah,GA
A00000762,Donna Delosh,45,Y,Y,4,MI,Bachelor,Own,Nashville,TN
A00002923,Ann Knight,62,N,Y,7,LI,High School,Own,Oklahoma City,OK
A00007209,Dana Shelly,64,Y,Y,7,MI,Bachelor,Own,Methuen,MA
A00008234,Charlie Garman,40,Y,Y,7,MI,High School,Mortgage,Nashville,TN
A00008824,Nannie Oates,37,Y,Y,6,MI,College,Rent,Glendale,AZ
A00009151,Donald Guida,28,Y,Y,5,MI,NA,Own,Nashville,TN
A00006992,Rachel Olson,48,Y,Y,3,LI,Bachelor,Own,Williston,VT
A00008299,Paulette Bryan,33,N,Y,2,HI,PhD,Rent,Everett,MA
A00004620,Jeannette Smith,61,Y,Y,5,HI,High School,Mortgage,Montgomery,AL
A00002319,Marie Adams,50,N,Y,6,MI,Masters,Mortgage,Mammoth Lakes,CA
A00006985,Antonio Lee,33,Y,Y,3,HI,High School,Own,Savannah,GA
A00000558,Kenneth Duffy,25,Y,Y,3,HI,Bachelor,Mortgage,Oklahoma City,OK
A00001478,Carl Dowling,61,Y,Y,4,LI,MD,Rent,Panama City,FL
A00002758,Ezra Crews,43,Y,Y,7,MI,Bachelor,Rent,Brentwood,TN
A00004846,Randy Thomas,64,Y,Y,4,HI,Bachelor,Own,Manchester,CT
A00000561,Joseph Covert,47,N,Y,5,MI,High School,Mortgage,Savannah,GA
A00006208,Richard Glenn,55,N,Y,4,LI,PhD,Rent,Nashville,TN
A00008840,Cherise Vanacore,48,Y,Y,3,MI,High School,Mortgage,Manchester,CT
A00001375,Raymond Kinney,45,Y,Y,6,MI,High School,Mortgage,Glendale,AZ
A00003571,Terrance Han,42,N,Y,2,MI,College,Rent,Glendale,AZ
A00005061,John Ho,47,Y,Y,3,HI,High School,Mortgage,Hartford,VT
A00000295,Jeffrey Walters,62,N,Y,6,MI,PhD,Mortgage,Oklahoma City,OK
A00000004,Norma Manning,34,N,Y,5,LI,Bachelor,Rent,Nashville,TN
A00001247,Dana Athayde,59,Y,Y,2,LI,High School,Own,Glen Burnie,MD
A00005549,Anthony Ryder,28,Y,Y,5,HI,Bachelor,Own,Manchester,CT
A00000961,Dorothy Garcia,52,Y,Y,3,MI,NA,Own,Littleton,CO
